tx_index,tx_hash,block_index,source,sent,burned,earned
0,14f6ed0ac368931e9b39b98a5ad9cc683166d37a35cca6838e63272c19a26160,335643,DLtFm7fnuVFHRWcUTsikccLnTyduWntHdF,100000000000,100000000000,149998843
1,b611a5c1c3a33c4b29185fa9876bcc1deb03d6b5cc63b4efabd12b21296badc5,335665,DCxeYK9vwL5Ku8tAD2P8zW39yJiMFbvvCo,5000000000000,5000000000000,7498668981
2,56d1a4327b1673f0e3b0864ec1fb951abae53e399fe042d13e61a509d1f81c29,335666,DT4o6ZGVQzmCF3kWSggt8X3uagSKkSiUum,163516000000000,163516000000000,245228578889
3,7b36ade6b22b5c4eadaf763cc2b5ab1ad74fee531d46036eeb3471eaa6092339,335666,D8zJ5HCWsdDTeijE9qHRQue81k63bTRmrq,300000000000,300000000000,449916667
4,586b18727d5eb44a1e92bb3bb319e944dcf5740be786504dea31c0f166e55098,335666,DCxeYK9vwL5Ku8tAD2P8zW39yJiMFbvvCo,1699700000000,1699700000000,2549077861
5,1f27297cc9e8c8d58fad1220f8c5458b6435b13508807c53c4e2a4bb473915ab,335667,DEQ3mb536KNbpJSmETUGGndaEE3wDgJZAU,49999000000000,49999000000000,74984032697
6,2a3faf6ed0345b80b4612ac8c496e0bf5dcc8b9f36ee2481038970a9c298ba29,335667,D9MaTFcHzdw7joK4xWeCH86WZMb88QPZ8T,999800000000,999800000000,1499410706
7,7034d24c19f5fb058d9b481ee1f1a2c5f22f84849c6205397b37dc9ca035e52b,335668,D5pXsFtz3sv2MSBVtyDNEcYHh94Yuy64V9,1900000000000,1900000000000,2849428241
8,bc5b2b11c70077d96044186875d7c22b66d4d5cdaecee6fe8d9d7ba81a618a32,335669,DDu3eMighJbR8SBJ96yp6GedUCTTKycWML,10000000000000,10000000000000,14996875000
9,2b7e3cbcf716b3e1de6ef5062ee4779d4bc06c5362f54fdb1361d8e56be057a5,335669,DQifjLzn7GB6bAwN51eU8i7jPRkJxNRbnH,1000000000000,1000000000000,1499687500
10,8a51db28884390907dcb4b6850f3cf2ee590d266531a5731b71343ffe72f291a,335669,DN9Dy6WpSWrZcLeRSfHCxDG3YfUDwuSHbA,2100000000000,2100000000000,3149343750
11,b65f3635f1b38ce4c3dea27c59538a3e30832488daefe0f87a6bd2114e41e73b,335669,D65nzTPmjBHSd1KtF7GsDFq7zam73znqeM,100000000000,100000000000,149968750
